category,ordered(crossed out),name,total_price,unit_price,link,orders,per_order,dimensions,note
SHELL/RECOVERY,False,Air Cylinder Fittings,5.16 ,$2.58 per item,https://www.digikey.com/en/products/detail/festo-corporation/QB-10-32-UNF-1-4-U/13976784?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-13976784_sig-Cj0KCQjw4cS-BhDGARIsABg4_J02qtmQr9jehMROMHBvubu3giVLys4fUCSESz5DGIXn62nl6z-fkLMaAnYuEALw_wcB&gad_source=4&gclid=Cj0KCQjw4cS-BhDGARIsABg4_J02qtmQr9jehMROMHBvubu3giVLys4fUCSESz5DGIXn62nl6z-fkLMaAnYuEALw_wcB&gclsrc=aw.ds, 2  ,NA,NA,     Fitting to connect the ¼” vinyl tubing to the air cylinder port  
SHELL/RECOVERY,True,Springs for Trigger,12.38,NA,https://www.mcmaster.com/9657K307/, 1  , 12  ,NA,     Used to push the puncture needle into the CO2 canister nozzle and trigger the parachute ejection  
SHELL/RECOVERY,True,Puncture Needle,13.59,NA,https://www.amazon.com/Tynulox-Stainless-Thickened-Weldable-Industrial/dp/B0BLCFKFBW?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1UXQHNMQZBYV9&gPromoCode=15756070649412169617&gQT=1&th=1, 1  , 5  ,NA,     Hollow cylindrical steel stock to create the needle meant to pierce CO2 canister   
SHELL/RECOVERY,True,Straight air fitting,8.99,NA,https://www.amazon.com/Pneumatic-Connector-Connect-fittings-Straight/dp/B09WW66HPP?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1GCZB01AK4UZC&gQT=1&th=1, 1  , 10  ,NA,     Used to connect the puncture needle and vinyl tubing  
SHELL/RECOVERY,False,Black Powder,15.30,NA,https://www.buffaloarms.com/schuetzen-reenactor-black-powd-schreenactor.html, 1  ,NA,NA,
SHELL/RECOVERY,False,E-Match Igniter,8.05,NA,https://www.apogeerockets.com/Rocket-Motors/Motor-Starters/Starter-Chipboard-6-pack?cpath=&, 1   ,NA,NA,
SHELL/RECOVERY,False,Servo,13.98,NA,https://www.amazon.com/Torque-Motors-Waterproof-Steering-Control/dp/B073F92G2S/ref=sr_1_25?dib=eyJ2IjoiMSJ9.ZybqPwsOOHWCOFCPWf0LgpMCXiVQJpf9gEpJz56fCmknJVEyA_x1gjtweZTyvEEVVH27JpBjudVApsoW2gdXjR7LFw8WOY15t8b6gju-ZIh7mcL1dmNgFa9BB86v0nw3z4b2P_WiUUmW29ZRLkMzTZppSBTar-5nFoDSt97f64WUYEnwPw2sdx6qyvbz0RSfkvr9ILvjoSjurj8jJnRpqeE-IGyIS1-Se34N4WBYUVnV-oor4VVTf1nAboP8uzXzza6BUTakSJZZCff4ICQz3fkaMbDMSSiA-CQV2D6WGgnLWlc5O_E-T8NFcxDITOAdwJwhiWBb-SsDl1Tb3Id8poxgEerqjRxlb8y3gzu5ll85vj6VBN_ArJkg4-jMvbwlo4YCVECfMoTNtTt50mhcQ4RkLxyKSAmJX66XZfNmxa8fm1n14OwL0lWmleeMgeCn.ntnki9w-jNe6UCbxoCVXk2vI--sn8Qnt7sy3_L6_Dm0&dib_tag=se&keywords=servos&qid=1742500062&sr=8-25&th=1, 1,NA,NA,
STATIC FIRING TEST STAND,True,Aluminum Sheet,61.77,NA,https://www.onlinemetals.com/en/buy/aluminum/0-375-aluminum-plate-6061-t651/pid/1249?variant=1249_12_12&gad_source=1&gclid=Cj0KCQjwm7q-BhDRARIsACD6-fXbjYOvqhHBpQLiaPBfh8zFgt1gynOCunL8hyn0LWHH1W7TFh7RbEAaAjNtEALw_wcB, 1  ,NA," 0.375” thick, 12” by 12”   ",     Base plate for test stand  
STATIC FIRING TEST STAND,True,Aluminum Tube,78.86 ,$39.43 per item,https://www.onlinemetals.com/en/buy/aluminum/8-od-x-0-25-wall-x-7-5-id-aluminum-round-tube-6061-t6-extruded/pid/7084?variant=7084_12_0&gad_source=1&gclid=Cj0KCQjwm7q-BhDRARIsACD6-fWttt29IOw0Oxos0ponUW6NJ8YlhCzZ-LcVX4EEoFAziDo7w9U9eXUaAl_pEALw_wcB, 2  ,NA, OD 8” ¼” wall thickness Custom cut 2in length  ,     Holding rings for bolts  
STATIC FIRING TEST STAND,True,Bolt,8.78,NA,https://www.mcmaster.com/92865A558/, 1 pack of 10  ,NA, ⅜” \-24 4” length  ,"     Safety Pin, holds the rocket to be stable, adjusting diameter.  "
STATIC FIRING TEST STAND,True,Tap,16,NA,https://www.mcmaster.com/26955A58, 1  ,NA, ⅜”-24    ,     Tapping holes into aluminum plate and tube for bolts  
STATIC FIRING TEST STAND,True,Nut,10.16,NA,https://www.mcmaster.com/90499A815, 1 pack of 100  ,NA,  ⅜”-24  ,     Keeping bolts in place without falling out  
STATIC FIRING TEST STAND,True,Thin Nut,8.78,NA,https://www.mcmaster.com/92053A110/, 1 pack of 25  ,NA,  ⅜”-24  ,     Low-profile for ID to keep bolts in place  
STATIC FIRING TEST STAND,True,Bolt,10.48,NA,https://www.mcmaster.com/92620A653, 1 pack of 25  ,NA,  ⅜”-24 ½” length   ,     Used for holding structure  
STATIC FIRING TEST STAND,True,L bracket,16.17 ,$5.39,https://www.mcmaster.com/3053T4/, 3  ,NA, 2” by 2”  ⅜” hole  ,     Mounting vertical stand to base plate  
STATIC FIRING TEST STAND,True,Eyering Bolt,34.59 ,$11.53,https://www.mcmaster.com/3014T258, 3  ,NA,  ⅜”-24  ,     Rings for attaching steel cable  
